Puan,Yorum
"5,0",Senaryosu gayet güzeldi. Özgün müdür değil midir bilmiyorum ama oyunculuklarla ortaya güzel bir iş çıkmış. Emeklerine sağlık.
"5,0",Tek kelime ile kusursuz bir film olmus. Aras Bulut ozellikle emegini guzel ortaya koymus. Emegi gecenlerin ellerine saglik
"5,0",Türkiye de gelmiş geçmiş en iyi film! Oyuncuları olsun senaryosu olsun kusursuz ve mükemmel! Böyle çalışmalara devam..
"3,5","Kadrosunu ve oyunculuklarını beğendim ancak genel manada filmi beğenmedim. Etrafımdaki insanlar çok fazla abarttığı için ekstra bir beklentiyle seyretmiş de olabilirim. Ciğer sökmek, ağlatmak için yapılmış bir film ancak bende pek etkisi olmadı açıkçası. Ortalamanın üstünde izlenebilir, iyi bir film ancak kesinlikle ""Süper, muazzam!"" değil."
"5,0",Türk dram filmleri arasında üst sıraları zorlayabilecek nitelikte kaliteli bir yapım. Aras Bulut İynemlinin oyunculuğu kendine hayran bırakacak derecede iyi. Bu yüzden puanım 5 üzerinden 5.
"5,0","Film çok güzeldi, tüm oyuncular rollerini muhteşem oynamışlar. Duygusal, hüzünlü bir hikaye olmasına rağmen roller aşırı dramatize edilmemiş, sürekli ağlama vb. gibi oyunculuk sergilenmemesi çok iyiydi. Genellikle dramlarda durumlar, oyunculuklar biraz fazlaca dramatize ediliyor. Filmin bu duruma yöneltilmemiş olması harika. Herkese izlemelerini mutlaka tavsiye ediyorum."
"5,0",Son zamanların en güzel filmi olmuş bence. Aras bulut iynemli bi filmdeki rolünü muhteşem oynuyorsun tebriklerr.
"5,0",Cok güzeldi pecetesiz girmeyin memo ve yavrusu unutamamm.Aras iynemli o nasil bir oyunculuktu yine hayran kaldim.
"3,0","Bir kısım Türk seyircisinin sinema anlayışında şöyle bir durum vardır: Ağlatan veya güldüren film muhteşemdir, çok kalitelidir. Sonuçta duygularına hitap etmiştir, onu bir şekilde içine çekmeyi, hikayeye dahil etmeyi başarmıştır. Sinemamızda pek çok örnek vardır bu durum ile ilgili. Hüngür hüngür ağlatmayan veya güldürmeyen, ancak mesajını/derdini üstü kapalı olsa da aslında çok daha derinden anlatmayı başaran filmler ise pek sevilmez, çünkü o mesajları anlamak için biraz kafa yormak, düşünmek gerekir, bu grup da genellikle 'sanat filmi' diye adeta kötülenen kategorideki filmlerdir. Bu anlayışı kesinlikle yadırgama niyetiyle vurgulamadım. Bir durum tespiti, gözlem gibi düşünelim. Hatta ben de bazen bu şekilde bakabiliyorum bazı filmlere. ""7. Koğuştaki Mucize"" tam da böyle bir yapım. Sempatiklik anlamında sarışın ve mavi/yeşil gözlü küçük kız çocuğumuz da eksik değil tabii. Sinemasal değerlendirmelerden neredeyse hiç bahsetmeyip her izleyenin 'inanılmaz ağladım' yorumu yaptığı bir film. Hatta 'inanılmaz ağladım, mutlaka görmelisin' yorumları. Uzun konu. Kısacası, inanılmaz ölçüde klişeler ve mantıksızlıklar barındıran, finaliyle de aslında önemli ölçüde havada kalmış, izlenme sayıları ile insanımızın halen genel bir sinema kültürü edinmekten ne kadar uzak olduğunu bir defa daha kanıtlayan bir yapım. Bir yandan böyle filmlerin de artması gerekiyor kuşkusuz. Böyle böyle kalite artacaktır."
"5,0",Bir film ancak bu kadar güzel olabilirdi harika bir dram sürükleyiciliğle ve süprizleriyle seyirciyi içine çekiyor muhteşem
"4,0",Film çok güzeldi ama efsane yapılabilirdi. Düşünsenize Ova ve babası yurt dışına gitmiş ve Ova orada İnsan Hakları Mahkemesine başkan oluyor. Yarbay ise Türkiye'de bütün mahkemelerde suçlu çıkınca İnsan Hakları Mahkemesine başvuruyor ve cezasını kesen Ova oluyor.
"5,0",aras abi Allah için napıyosun ya kızla beraber gittik ağladım kızın yanında bu nası oyunculuk bu nası film
"5,0","Özellikle benim gibi kız babaları için, kalbe sağlanan hançer gibi bir film. Ama en çok dikkatimi çeken şey 
spoiler: 
yarbayın Allah gibi tasfir edilmesi
. Doğru tespit. O zaman da, bu zaman da güç kimdeyse, bizim toplumda korkudan sebep böyle tasvirler hep oldu. O zaman askerlerdi, ve doğru, oldu bunlar, bugün de başkaları. Kötü adamların da iyisi olur dedirten, vicdanları parçalayan bir film. Aras'ı da rolünde çok başarılı buldum."
"5,0","Filmin kore versiyonu olabilir ama unutmayın geçtiğimiz yıllarda oscarı yine koreden uyarlanan bir film aldı. Film iyi denebilecek seviyede fakat Aras Bulut İyinemli harika oynamış, tebrikler"
"5,0",Hayatımda izlediğim en güzel filmlerden biriydi... mutlaka izlenmesi gereken bir film.eger izlemediyseniz tavsiye ederim.
"5,0",Bu hafta sonu gidicez inş bir haftadır ağlıyoruz sınıfça. Shdixajcsjxwjwcieviegi3fu0efkeveiceigekevkevieceifeiceicekceigeievievkvwuegiefieguecekgeieoheifeigeieg
"5,0",BÜTÜN ARKADAŞLARIMA ŞİDDETLE ÖNERDİĞİM MUAZZAM BİR FİLM. HERŞEYİ BIRAK ARAS BULUT VAR YAHU GİDİLMEZMİ :))
"4,5",Filimi genel olarak iyi buldum oyunculuk ve duyguyu iyi hissettiriyor sadece tek sıkıntısı senaryosu daha önceden çekilmiş bi filimden uyarlanması biraz kötü olmuş
"4,0",Gerçekten bşarılıydı. Çoğu sahneden ağlamamak için zor tuttum gerek Aras Bulutun oyunculugu gerek diger oyuncularin oyunculuklrı çok iyiydi kesinlikle tabsiye ederim
"5,0",Tüm salon hungür hüngür ağladı ve ayrica benimde ağlamaktan başıma ağrı girdi uzun zamandir böyle içten hissettiren bir film izlememiştim. Ve ayrıca filmden hayran hayran yeni çıktım  bu filme yorum yapabilmek için de buraya üye oldum :)
"5,0",Tek kelimeyle mükemmel. Herkesin izlemesi gereken bir film. İzlemek isteyenler yanına peçete almayı unutmasınlar çok lazım oluyor :/
"0,5",Flimde üsteğmenin koğuşta mahkumları azarlarken o bir yarbay yani Allah demesi bu sahnede Haşa Allah böyle bişeyde nası geçer bir tutulur.
"4,0",Kaliteli bir senaryonun muhteşem oyunculuklarla harmanlanmış güzel bir uyarlama filmi. Kesinlikle gözyaşlarınızı tutamayacağınız bir film 8/10
"5,0",Uyarlama olan filmleri bizim ülkemizde çok yapıyorlar ama birçoğu bence çok güzel oluyor.Öteki Taraf filmi uyarlamasından çok daha iyiydi ama değer bilinmedi.7.Koğuştaki Mucize filmide bir uyarlama film bizim dönemlere uygun şekilde yapılmış.Ben bu film çıkana kadar Kore filminden haberim yoktu ve izlemedim.Filme gelirsek tek kelimeyle enfes bir film olmuş.Oyunculuklar muhteşem ötesi herkes rolünü hakkıyla vermiş.Aras Bulut resmen döktürmüş kızını oynayan küçük çocuk süper oynadı.Filmde diyaloğu çok olmamasına rağmen mimikleri ile Mesut Akusta ve diğer bütün oyuncular döktürdü.Ağlanacak çok yer var ben çok duygulandım belki de içime atıp ağlamadım ama o kadar duygu yüklü anlam dolu bir film olmuş ki herkesin yüreğine sağlık.Filmin finali beklenmedik şekilde sürprizlerle bitti bence çokta iyi oldu.Adaletin bazen güçlünün yanında yer alıp suçsuz insanları mahkum etmesi dostluğun önemini anlatmasından dolayı biz filmi çok beğendik.
"5,0",Tek kelimeyle mükemmel duygu dolu bir film bu tür filmleri kaçırmamak gerektiğini düşünüyorum çünkü insanî değerlerimizi hatırlamamızı sağlıyor
"5,0",Herkese tavsiye edebileceğim yaş sınırı olmayan . ailecek izlenebilecek bir film . Aras bulut iyemli Sen harika bir detaysın...
"4,5","Demek ki neymiş isteyince Türkler de güzel film yapabiliyormuş.Senaryosu ithal olmuş olsa da Türk sinema tarihinin en iyi filmlerinden biri. Oyunculuklar, mekanlar ve kurgu harika. Aras Bulut İynemli bu rol için en doğru kişi ve rolün hakkını da vermiş tebrikler. Küçük kızın yetişkinlik hali sonda gösterildiğinde insan ister istemez Memo nerde diye sormadan edemiyor onu da görmek istiyor.İkinci izleyişimde ufak hatalar görsem de bu filmin bir başyapıt olduğunu değiştiremez.Filmin finalini çok beğendim. Basit ve klasik bir sonla bitirmemişler. Harika bir ekip çalışması sonuç olarak da  harika bir film."
"1,5",Bu filme gidip muhtesem di... diye yorum yapanlari anlamak oldukça güç ya hayatlarinda cidden muhteşem bir film izlememisler sevginin gucu gibi.. ya da ilkkez sinema deneyimi yaşıyorlar sonunu bir saat önceden tahmin edebildigim bir senaryo bana kaliteli gelmiyor ne yazikki boşa masraf yine insanlar yetekli oyuncu var nasilsa gider diye yapilmis bir filmin daha sonuna geldik bence bosa gitmeyin bir iki yerde gozlerim doldu hepsi bu fragmani daha etkileyici idi.... 
"5,0",Çok  beyedim çok ta alatan sahneler oldundan eminim ekranlara gelmesini sabırsızlıkla bekliyorum  boyle guzel sinemalara isalah devaml gelir ama cukur  çok izledim bir dizi
"3,0",Senaryo sağlam oyuncular iyi oynamış. Eksiklikler idam sahnesinde Tabure var ve sadece Tabure olmaz birde idam sehpası olmasi lazim. Ezel ve Karadayıdan senaryo ve oyuncu devşirmisler. Filmde geri gidisler (flash bang diyorlar galiba )yetersizdi. 33 yıldır tv sinema izliyorum herkes bu konuda uzman yani.
"1,0","İlk olarak olumlu yorum yapıcam:zaten bildiğimiz tanıdığımız oyunculuğa yıllarını vermiş oyuncularımız çok iyi bir iş çıkarmış.özellikle aras bulut.AMA yan oyuncular özellikle komutanın karısı,ya bukadar mı kötü bir oyunculuk olur,başka oyuncu bulamadımız mı.ve şu repliği hiç beğenmedim “komutan yarbay yani allah” bu ne ??.filmle söylenek şey şu kısaca,mükemel bir kadro,berbat yan oyuncular kötü senaryo...bu arada aras bulutun kızı rolundeki küçük kız çok başarılı bir oyunculuk gerçekleştirmiş."
"5,0","Son zamanlarda ki en başarılı filmdi. Senaryo, oyuncular ve özellikle kamera çok çok iyiydi. #ArasBulutIynemli yine oynamamış, yaşamış..Muhteşem manzaralar, sürükleyici hikaye, biraz gülme, biraz ağlama...Herkesin filmin içinde kendiyle özdeşleştiridiği bir yerler muhakkak oluyor.Kaçırılmamalı"
"0,5","KONUSUNU Bİ̇RAZ GARİ̇PSEMEDİ̇M  DEĞİ̇L, HER NE RÜTBE DE OLURSA OLSUN Hİ̇ÇBİ̇R ASKER’İ̇N KENDİ̇ MEVZUSU OLDUĞUNDA KENDİ̇ RÜTBESİ̇Nİ̇ KULLANARAK SUÇLUNUN CEZASINI  KENDİ̇Sİ̇ KESEMEZ VE KESMEZDE.SONRA DİYORSUNUZ Kİ MİLLET NEDEN ASKERİ SEVMİYOR BİRDAHA DÜŞÜNÜN NEDEN"
"5,0","filmde geçen sahneleri kendi din ve ahlak inanışına göre yargılayıp, eleştiren insanlar var. arkadaşlar film eleştiriyorsunuz o sahnede mahkumlar haşa diyor zaten, ya biri de diyor ki askerler rütbelerini kullanmaz, sanırım aynı ülkede yaşamıyoruz biz.. film çok güzeldi,dramsa dram,oyunculuksa oyunculuk,süpriz son ise süprize yakın son. ne beklliyorsunuz aksiyon mu ? o vakit türüne göre izleyin. beklentiyi karşılıyor."
"5,0","İnsanı oturduğu koltuğa zımbalayan ve zihindeki etkisini günlerce sürdüren bir yapım. Emeği geçen ekip ve oyunculara canı gönülden tebrikler. Son 2, 3 senedir kalitesizliğinden dolayı Türk filmlerine gitmez olmuştum. Şampiyon(Bold Pilot) ve bu film umarım sektörün önünü açar. Salonda kadınlar bir tarafa gözyaşı döken erkeklere şahit oldum(bende dahil). İnanın gittiğinize pişman olmayacaksınız. 80 dönemi idarecilerinin despotluğu, gaddarlığı ve ceberrutvari yönetim biçimini gözler önüne seren bir yapım."
"5,0",On numara 5 yıldız. Harika bir yapım Kesinlikle tavsiye ediyorum Rahat ağlamak için yoğunluğu az olan seanslara gidin (erkekler ) Ben kendimi çok tuttum ciğerlerim ağrıyor Efsane
"4,0","ilk çıktığında sinemada izlemiştim çok güzel film dramı çok iyi veriyor aras bulut iynemli yine harika oyunculuk sergilemiş yaşamış rolünü etkisi seyirciye geçiriyor ne kadar uyarlama olsada film boyunca hüzünlendiriyor film 10/8 
spoiler: 
sonunun iyi bitmesi iyi olmuş memo yavrusuna ovasına kavuşuyor"
"3,0",Yine bir çakma film orijinalden Güney Kore filmi bir kere de orijinal birşey yapın Güney Kore filmi güzeldi bu nasıl bakalım gidince göreceğiz
"3,0","Filmi nedense aman amanlık bir derecede bulmadım. Evet oyuncular, oynadıkları değil neredeyse yaşadıkları rolleri bahsetmeden edemem. Lakin dizinin alıntı olduğu öne çıkıyor. Ona bir sözüm yok çünkü burası Türkiye konu olarak yetersiz olabilir lakin oyunculuklar olarak o kadar güzel ve o karakteri yaşayarak oyuncu var ki bunları göz önüne getirttiremiyor neredeyse. Cok duygusal biriyim fakat hic aglamadim. Sinema sonrasi kizlar tuvaletinde izdiham vardi kiz ben makyajli geldim diyip hungur hungur agliyorlardi. Lavabolar dolu kabinler bombostu siralar vardi lavabolarda siralar vardi. Guzeldi evet oyunculuklar da mukemmel ama biraz fazla abartildigini dusunuyorum"
"3,5",Şimdiye kadar izlediğim en iyi türk dram filmlerindendi oyunculuklar çok iyiydi özellikle aras bulut harika muazzam bir oyunculuk sergilemişti mekanlar makyağ çekim açıları olması gereken seviyedeydi ha eksikler varmıydı tabiki vardı film son sahnelere kadar kendini çok iyi taşıdı kah ağlattı kah güldürdü fakat klasik dram kültürünü o vuruculuğu son sahneşerde veremedi çok daha iyi bir final izleyip insanları fillmden çıkınca bile ağlatabilirdi olmadı ama olsun yinede ortalamanın üstünde iyi bir yapım olmuş
"5,0",Ya resmen filmde için dışına çıktı  her sahnesi ayrı bir harika filmin ilk sahnesinde ağlamaya başladım
"3,0","FENA DEĞİL AMA Bİ AYLA KADAR ETKİLEMEDİ YANİ İZLENİR AMA KESİNLİKLE İZLENMELİ DİYEMEM  VE AĞLATIR HİÇ  DEMEM... Kİ,, BEN AYLADA AĞLAMIŞ ADAMIM.."
"1,0",1. Allah yukarıda değil zamandan ve mekandan münezzehtir.2. Allah ın üstünde bir güç yoktur.3. Büyük günah işleyen bir müslüman EBEDİYYEN cehenneme gitmez.Filmde vahhabiliğin izleri var film yaparken dini lütfen yanlış düşüncelere sebep olacak şekilde yansıtmayın. Hafız rolünü de hem edepsiz hemde hocaymış gibi göstermek tam bir saçmalık ve amaç ne anlamadım dini bu kadar yerler altına alan filmleri yapmayı bırakın Allah hesabını sorar!!!!
"5,0","Gerçekten bizim film sektörü olarak başarılı olabildiğimiz iki tür varsa birinci trajedi ikinci komedi. Bu film bize duygulu, acıklı, ağlatan benzersiz bir yapım ortaya koymuş. Bence ilerleyen dönemlerde sinemamızda kült yapımlar arasında sayacağımız bir film ortaya çıkmış .Ağlamayan gerçekten kalpsizdir denilebilecek tarzda bir yapım. Duygu yoğunluğu çok üst safhada. Oyuncuların kalitesi ve performansı mükemmel ve hikayeyi adeta şaha kaldırmışlar. Özellikle Aras Bulut İynemli'ye ayrı bir parantez, sen harika bir oyuncusun ve karakterini adeta yaşattın. Yan karakterlerde olan sürede karakterlerinin üzerine basarak söylüyorum hakkını fazlasıyla vermiş.Ege ağzıyla konuşan teyzemiz vardı Fatma yani Celile Toyon bu kişiler filme ekstradan kalite ve bölgenin samimiyetini enjekte ettikleri içinde filmlerde gizli kahramanlardır unutulmamalıdır. Askorozlu karakterini canlandıran İlker Aksum'da etkili bir karakter ortaya koymuş. Bölgesinin yani Ege'nin güzelliklerini  ortaya sermesi de acıklı ve trajedinin ortasında tek rahatlatan ve nefes aldıran detaydı. Filmin mutlu bir sonla bitmesi bizi filmin sonunda acılara gark eden bir gün yerine ohh be dedirten sonuyla finali güzel kapattı. Kusursuza yakın bir filmdi. Not Kore versiyonunu hiç izlemedim, bireysel bazda bir yorumdu :)"
"5,0","film süperdi salon full çekti ağlamaktan gözlerimiz şişti kesinlikle ama kesinlikle tavsiye ederim 
spoiler: 

 gerçekten mucize"
"5,0",Oyunculuk senaryo kısacası film tek kelimeyle muhteşem. Kesinlikle izlenmesi gereken bir film. .....
"5,0",Bu filmde kötu bir yorum yapilmaz çünkü gercekten cok iyiydi herkes rolunü layıkıyla yapmıs. Bir dram filminde olmasi gereken hersey vardı. Her duyguyu yaşattı bana gülüyorsun bir an oluyor ağlıyorsun bir an geliyor sinirleniyorsun yani tek kelimeyle cok begendim herkesin eline emegine sağlik. Herkes izlemeli ve biseyler almali bu filmden
"0,5",Film dram olarak çok iyi. sinemaya giderken yanınız da mendil götürmeyi unutmayın. Yalnız askeriyeyi bu kadar da kötülemenin pek bir anlamı yok. Sinemadan çıkarken yanımda oturan kişi kız arkadaşına '' O zamandaki askerler böyle acımasızdı '' dedi.
"2,5","Filmin bu kadar begenilmesinin sebebini anne baba konusunda hassas olmamiza,yüreğimize hemen isleyip pit pit gozyaslarimizin dökülmesine sordum.Evet ben de ağladım ama kurgusunun zayifligini da goz ardı edemicem.Olaylar 'hi şundan dolayı' gibi bi nedene bağlanması için hızlı hızlı işlenmiş her şeyi bi anda yapılmaya kalkilmis bana göre.en azindan son sahnesiyle siradanligin disina cikabilmesine sevindim ama filmi herkes kadar sevmeme neden olmadi."
"5,0",Son 5 yıla içinde izlediğim içinde gerçekten emek geçen duygusal film herkesin ellerine sağlık (Deli Bal’dan) daha güzeldi
"1,0",Film fragmaniyla beni hayal kırıklığına uğrattı tamam anladık özgün hikaye üretmekten uzaksınız da bizi kandırmayın aptal değiliz mucize ve yeşil yol filmlerini birleştirmiş üzerinde biraz oynamissinız ve bize yeni film gibi kakalamışsınız yemedik yemeyiz
"5,0","Izmır optimum 7 seansında izledik. Yanimda eşim ağlıyor,  onun yanında yiğenim,  onun yanında oğlum ağlıyor, arkada ablalar , mendil dağıtanlar vs Bütün sinema salya sümük:) gerçekten başarılı bir konusu ve bir o kadar da başarılı kadrosu mevcuttu. Yanlız en sonda Arası göremedik sadece kızını gördük. Mesele en sonda babası baba koltuğunda ve biraz yaşlanmış olarak uyuyor yada bahçede oturuyor olsaydı, film kendini tamamıyla tamamlamış olurdu ve gerçek mutlu son olurdu  diye düşünüyorum."
"3,5",İdare eder ama bazı yerlerde çok gereksiz dram vermişler spoiler vermeden şöyle söyliyim mesela babanennenin filmin ortasında yaşadığı olay gibi hikaye anlamında güzeldi dram filmi için iyi bir alternatif olabilir  Çok beklentiye girmeyin ama oyunculuklar ortalamanın çok üstünde olduğunu söylemeliyim
"5,0",Son yılların en güzel dram filmi kesinlikle izlenmesi gerektiğini düşünüyorum. Uzun zamandan beri bir filmde bu kadar çok ağlamıştım. Konu çok güzel anlatılmış.
"5,0",aklı dengesi sıkıntılı adamın haksız yere idam cezasına gitmesi ve bu arada kızıyla olan ditaloğları...muhteşem seneryo oyunculuk ve işleyiş öok iyi.. Sürükleyicilik kurgu tempo herşey çok iyi. 10 numara 5 yıldız film olmuş..
"5,0",Muhteşem bir filim . Aras bulut yine oyunculuğunu konuşturmuş.  Bütün ekip çok başarılı.  Bravo  son zamanlarda  vizyonda olan tek ıyi yapıt. Buna Joker de dahil yani joker  0 7. Koğuştaki mucize 10 
"5,0",Şahane bir film etkilenmemek mümkün degil. Umarım ikinci bölümü de çıkar çünkü kafamda bir sürü soru işareti var
"4,5",Gerek oyuncu kadrosu gerek oyunculuklar muhteşem. Müzik seçimleri harika tüm duyguyu geçiriyor.Bugün filmin sonunda herkes birbirine peçete uzattı.öyle etkileyiciydi.Mutlaka izlenmesi gereken bir film.Aras aşırı iyi oynamış bunu da belirtmeden edemicem. (O iyİ aDAM filmden sonra bu cümle anlam kazanıcak ) :))
"2,0",Film klasik Türk filmi tarzında olmuş ikinci defa filmi izleyemem çünkü sıkılırım biraz daha ütopik değilde gerçekçi bir konusu olabilirdi belli bir süreden sonra sıkıldım filmi değil etrafı seyrettim
"0,5","Birincisi, bunu yöneten adam ve senarist hikayeyi hiç mi okumadı? Askeri, askeriyeyi, 180 yıllık Jandarma Teşkilatını nasıl kötülersin, nasıl ayaklar altına alırsın, oradaki erleri nasıl küçümsersin, o yıllar böyleydi diye sıyrılıp kurtulamazsın, Yarbay rütbesini nasıl Allah diye tanıtırsın! Sıkı yönetim diye başındaki adamı Türkiye Cumhuriyetine sahipmiş gibi nasıl gösterirsin, nasıl bir vatandaşı - hemde akli dengesi yerinde olmayan- askere dövdürür zorla hakkına zaptedip idama karar verirsin.. Sadece bunlarla da yetinmeyip koğuşta ki o insanları nasıl kalıba sokarsın, işin içine dini karıştırıp hoca diye tanıttığın karakteri nasıl küfür ettirebilirsin, yetmeyip dinle dalga geçip hemde hoca zata ya da hafız dediğin adama alkollü bir şeyi yedirtebilirsin! Bunlar olup biterken kimse o saçma sapan tokayı fark etmedi dimi? Öğretmen diye koyduğun roldeki kadının saç tokası neden Fransız bayrağı? Neden, ne mesaj veriyorsun burada izleyiciye.. Ama birşey diyemiyorsun ki bizim geleceğimiz bizim neslimiz çocuklarımız gençlerimiz arkadaşlarım bunu fark edemediler ki.. Çünkü sadece yakışıklı dedikleri bir adam filmde oynadığı için herkes güzel gördü, bayıla bayıla izlediler, duygusallığı basmışlar filme, duygu sömürüsü yapmış bizim kızlarımızı ağlatmışlar film güzel olmuş.. At gözlükleri ile devam edelim ne kadar güzel değil mi? Kimse askeri kötüleyemez kimse Allaha film de olsa şirk koşmaz, kimse benim bayrağımın altında başka bayrakları insanların bilinçaltına koyamaz, film tek kelime ile gereksiz, oynayan oyunculara saygım sonsuz ama mesajlar olaylar berbat, izlemeyene tavsiyem şudur; gidin dikkatli izleyin rezilliği görün.."
"4,5",Çok güzel ve muazzam bir filim oyunculuk olsun görsel yönden olsun.  Olay ve kurgu acısından yok böyle bi şey ya zaten son 16 yilin vizyona en iyi giren filimi 3 günde 615 bin izlenme hak ettiği yeri görme acısından en az 7 milyon izlenmesi gerekir derrim.  Yer yer komik bir o kadar da sahneler de duygu yüklü trajedi. Izleyin arkadaşlar izleyin mutlaka izleyin
"0,5",Yarbay Haşa Allah yapmada ne demekHangi illede bu bir fitne düsmanlık sebebi Yazılan senaryoyu gozden gecırıp Iyı okusanız daha iyi olur Gereksiz
"0,5","Film ilerledikçe ne zaman ne olacağı bariz ortada, spoiler vermeye bile gerek yok. Şaşırtıcı ve öğretici unsur pek azdı"
"0,5",Sayın senaristler ülke olarak neden kendimiz seneryo yazamıyoruz güney koreden uyarlanmıs bi filmi kendi gişemizde düzenletip tekrar oynatıyoruz merak uyandırmıyor cünkü yabancı yapımını izledim farklı bi yapım olsaydı sinemada  izlenmeye gidilebilirdi.
